corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
QOC is saving this optimization run to ./out/00001_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
 486   | 4.35874775e-02 | 4.96076395e-02
 487   | 4.24577512e-02 | 4.90220855e-02
 488   | 4.13506922e-02 | 4.84297697e-02
 489   | 4.02664366e-02 | 4.78313446e-02
 490   | 3.92050869e-02 | 4.72274787e-02
 491   | 3.81667116e-02 | 4.66188541e-02
 492   | 3.71513459e-02 | 4.60061638e-02
 493   | 3.61589914e-02 | 4.53901095e-02
 494   | 3.51896168e-02 | 4.47713983e-02
 495   | 3.42431583e-02 | 4.41507400e-02
 496   | 3.33195204e-02 | 4.35288445e-02
 497   | 3.24185765e-02 | 4.29064188e-02
 498   | 3.15401700e-02 | 4.22841640e-02
 499   | 3.06841153e-02 | 4.16627725e-02
 500   | 2.98501989e-02 | 4.10429248e-02
 501   | 2.90381807e-02 | 4.04252873e-02
 502   | 2.82477954e-02 | 3.98105091e-02
 503   | 2.74787540e-02 | 3.91992193e-02
 504   | 2.67307450e-02 | 3.85920249e-02
 505   | 2.60034364e-02 | 3.79895078e-02
 506   | 2.52964773e-02 | 3.73922235e-02
 507   | 2.46094992e-02 | 3.68006982e-02
 508   | 2.39421180e-02 | 3.62154276e-02
 509   | 2.32939360e-02 | 3.56368753e-02
